CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F998,F999,F1000,F1001,F2384,F359325,F359336,
,,,,,Deprivation; classification of household [E][S][W] : Household is deprived in 1 dimension - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 2 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 3 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 4 dimensions - Unit : Households,Population (usual residents) : All usual residents - Unit : Persons,Age : Age 16 to 24 - Economic activity : Economically inactive - Sex : Males - Unit : Persons,Age : Age 25 to 34 - Economic activity : Economically inactive - Sex : Males - Unit : Persons,
24345,E01005222,Manchester 031D,Lower Super Output Areas and Data Zones,LSOADZ,286,202,56,3,2102,64,26,
24346,E01005223,Manchester 007A,Lower Super Output Areas and Data Zones,LSOADZ,200,124,64,2,1234,28,9,
24347,E01005224,Manchester 007B,Lower Super Output Areas and Data Zones,LSOADZ,253,162,68,5,1819,35,21,
24348,E01005225,Manchester 007C,Lower Super Output Areas and Data Zones,LSOADZ,253,263,99,8,1847,48,19,
24349,E01005226,Manchester 007D,Lower Super Output Areas and Data Zones,LSOADZ,228,163,53,6,1599,24,11,
24350,E01005227,Manchester 009D,Lower Super Output Areas and Data Zones,LSOADZ,223,199,87,10,1685,34,20,
24351,E01005228,Manchester 009E,Lower Super Output Areas and Data Zones,LSOADZ,238,254,119,6,1691,50,22,
24352,E01005229,Manchester 007E,Lower Super Output Areas and Data Zones,LSOADZ,212,133,28,0,1539,32,6,
24353,E01005230,Manchester 022B,Lower Super Output Areas and Data Zones,LSOADZ,267,193,91,14,2069,238,72,
24354,E01005231,Manchester 022C,Lower Super Output Areas and Data Zones,LSOADZ,260,82,19,3,2626,446,108,
24355,E01005232,Manchester 020C,Lower Super Output Areas and Data Zones,LSOADZ,256,202,85,9,1867,59,17,
24356,E01005233,Manchester 027D,Lower Super Output Areas and Data Zones,LSOADZ,260,195,94,6,2403,92,63,
24357,E01005234,Manchester 027E,Lower Super Output Areas and Data Zones,LSOADZ,208,178,93,9,2046,78,51,
24358,E01005235,Manchester 020D,Lower Super Output Areas and Data Zones,LSOADZ,235,225,105,7,1760,49,28,
24359,E01005236,Manchester 022D,Lower Super Output Areas and Data Zones,LSOADZ,260,179,65,16,2061,200,67,
24360,E01005237,Manchester 022E,Lower Super Output Areas and Data Zones,LSOADZ,195,139,63,12,1994,118,52,
24361,E01005238,Manchester 027F,Lower Super Output Areas and Data Zones,LSOADZ,196,148,68,8,2109,90,50,
24362,E01005239,Manchester 020E,Lower Super Output Areas and Data Zones,LSOADZ,210,216,107,15,1762,51,26,
24363,E01005240,Manchester 024A,Lower Super Output Areas and Data Zones,LSOADZ,336,251,112,8,2655,93,48,
24364,E01005241,Manchester 025A,Lower Super Output Areas and Data Zones,LSOADZ,326,192,66,10,2428,112,61,
24365,E01005242,Manchester 025B,Lower Super Output Areas and Data Zones,LSOADZ,351,272,81,17,2603,134,65,
24366,E01005243,Manchester 024B,Lower Super Output Areas and Data Zones,LSOADZ,364,299,143,18,2463,68,45,
24367,E01005244,Manchester 025C,Lower Super Output Areas and Data Zones,LSOADZ,324,223,65,8,2938,435,86,
24368,E01005245,Manchester 024C,Lower Super Output Areas and Data Zones,LSOADZ,281,291,128,8,2410,105,40,
24369,E01005246,Manchester 024D,Lower Super Output Areas and Data Zones,LSOADZ,272,200,108,16,2139,53,42,
24370,E01005247,Manchester 005A,Lower Super Output Areas and Data Zones,LSOADZ,214,153,28,1,1454,31,13,
24371,E01005248,Manchester 005B,Lower Super Output Areas and Data Zones,LSOADZ,202,117,20,0,1369,26,10,
24372,E01005249,Manchester 005C,Lower Super Output Areas and Data Zones,LSOADZ,237,169,69,9,1846,37,20,
24373,E01005250,Manchester 005D,Lower Super Output Areas and Data Zones,LSOADZ,245,220,67,6,1781,39,8,
24374,E01005251,Manchester 003D,Lower Super Output Areas and Data Zones,LSOADZ,212,161,63,2,1594,36,10,
24375,E01005252,Manchester 003E,Lower Super Output Areas and Data Zones,LSOADZ,237,249,78,3,1834,50,8,
24376,E01005253,Manchester 005E,Lower Super Output Areas and Data Zones,LSOADZ,227,181,69,6,1585,39,10,
24377,E01005254,Manchester 005F,Lower Super Output Areas and Data Zones,LSOADZ,205,115,48,0,1598,40,9,
24378,E01005255,Manchester 012D,Lower Super Output Areas and Data Zones,LSOADZ,245,281,124,15,1609,33,28,
24379,E01005256,Manchester 011A,Lower Super Output Areas and Data Zones,LSOADZ,269,254,110,17,1995,56,19,
24380,E01005257,Manchester 011B,Lower Super Output Areas and Data Zones,LSOADZ,257,264,136,16,1798,38,27,
24381,E01005258,Manchester 011C,Lower Super Output Areas and Data Zones,LSOADZ,260,213,76,13,1707,37,19,
24382,E01005259,Manchester 011D,Lower Super Output Areas and Data Zones,LSOADZ,254,210,137,15,1602,29,26,
24383,E01005260,Manchester 011E,Lower Super Output Areas and Data Zones,LSOADZ,191,126,43,6,1499,28,17,
24384,E01005261,Manchester 012E,Lower Super Output Areas and Data Zones,LSOADZ,205,225,107,9,1642,23,24,
24385,E01005262,Manchester 044B,Lower Super Output Areas and Data Zones,LSOADZ,243,184,57,6,1841,29,20,
24386,E01005263,Manchester 046A,Lower Super Output Areas and Data Zones,LSOADZ,242,188,92,13,1633,32,3,
24387,E01005264,Manchester 044C,Lower Super Output Areas and Data Zones,LSOADZ,194,159,69,3,1535,38,7,
24388,E01005265,Manchester 044D,Lower Super Output Areas and Data Zones,LSOADZ,236,164,62,6,1684,34,13,
24389,E01005266,Manchester 044E,Lower Super Output Areas and Data Zones,LSOADZ,278,233,89,6,1957,32,29,
24390,E01005267,Manchester 046B,Lower Super Output Areas and Data Zones,LSOADZ,221,128,25,4,1551,20,9,
24391,E01005268,Manchester 046C,Lower Super Output Areas and Data Zones,LSOADZ,298,164,24,2,2018,28,13,
24392,E01005269,Manchester 046D,Lower Super Output Areas and Data Zones,LSOADZ,205,111,27,1,1484,18,9,
24393,E01005270,Manchester 035A,Lower Super Output Areas and Data Zones,LSOADZ,209,166,79,9,1747,51,23,
24394,E01005271,Manchester 032C,Lower Super Output Areas and Data Zones,LSOADZ,265,86,34,5,2101,426,33,
24395,E01005272,Manchester 035B,Lower Super Output Areas and Data Zones,LSOADZ,236,222,99,6,1802,40,16,
24396,E01005273,Manchester 035C,Lower Super Output Areas and Data Zones,LSOADZ,182,77,25,3,1558,291,20,
24397,E01005274,Manchester 038A,Lower Super Output Areas and Data Zones,LSOADZ,200,149,56,1,1766,139,30,
24398,E01005275,Manchester 038B,Lower Super Output Areas and Data Zones,LSOADZ,266,87,19,3,1695,104,32,
24399,E01005276,Manchester 038C,Lower Super Output Areas and Data Zones,LSOADZ,207,48,20,3,1602,107,18,
24400,E01005277,Manchester 038D,Lower Super Output Areas and Data Zones,LSOADZ,260,65,14,1,1729,55,26,
24401,E01005278,Manchester 035D,Lower Super Output Areas and Data Zones,LSOADZ,214,111,39,1,1839,231,20,
