CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F998,F999,F1000,F1001,F2384,F359325,F359336,
,,,,,Deprivation; classification of household [E][S][W] : Household is deprived in 1 dimension - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 2 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 3 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 4 dimensions - Unit : Households,Population (usual residents) : All usual residents - Unit : Persons,Age : Age 16 to 24 - Economic activity : Economically inactive - Sex : Males - Unit : Persons,Age : Age 25 to 34 - Economic activity : Economically inactive - Sex : Males - Unit : Persons,
52004,E01033666,Manchester 017F,Lower Super Output Areas and Data Zones,LSOADZ,348,316,123,14,2664,65,29,
52005,E01033667,Manchester 054E,Lower Super Output Areas and Data Zones,LSOADZ,318,94,26,2,1006,33,21,
52006,E01033668,Manchester 015F,Lower Super Output Areas and Data Zones,LSOADZ,225,122,50,4,1136,17,23,
52007,E01033669,Manchester 015G,Lower Super Output Areas and Data Zones,LSOADZ,226,206,88,7,1397,35,11,
52008,E01033670,Manchester 039E,Lower Super Output Areas and Data Zones,LSOADZ,227,29,4,1,1252,12,17,
52009,E01033671,Manchester 039F,Lower Super Output Areas and Data Zones,LSOADZ,158,59,19,1,1709,35,25,
52010,E01033672,Manchester 059C,Lower Super Output Areas and Data Zones,LSOADZ,278,141,75,10,1291,16,49,
52011,E01033673,Manchester 059D,Lower Super Output Areas and Data Zones,LSOADZ,317,38,3,0,1101,19,19,
52012,E01033674,Manchester 058C,Lower Super Output Areas and Data Zones,LSOADZ,236,101,47,4,2206,146,196,
52013,E01033675,Manchester 058D,Lower Super Output Areas and Data Zones,LSOADZ,245,178,75,6,2064,43,24,
52014,E01033676,Manchester 056D,Lower Super Output Areas and Data Zones,LSOADZ,223,247,110,8,1668,48,23,
52015,E01033677,Manchester 060A,Lower Super Output Areas and Data Zones,LSOADZ,321,63,5,0,1170,204,57,
52016,E01033678,Manchester 009F,Lower Super Output Areas and Data Zones,LSOADZ,225,189,102,8,1574,36,19,
52017,E01033679,Manchester 009G,Lower Super Output Areas and Data Zones,LSOADZ,186,228,124,14,1409,32,30,
52018,E01033680,Manchester 028E,Lower Super Output Areas and Data Zones,LSOADZ,234,105,43,9,1211,33,30,
52019,E01033681,Manchester 060B,Lower Super Output Areas and Data Zones,LSOADZ,362,41,5,0,1373,54,30,
52020,E01033682,Manchester 060C,Lower Super Output Areas and Data Zones,LSOADZ,327,60,8,0,1261,51,21,
52021,E01033683,Manchester 060D,Lower Super Output Areas and Data Zones,LSOADZ,365,63,8,0,1259,126,46,
52022,E01033684,Manchester 013F,Lower Super Output Areas and Data Zones,LSOADZ,376,59,6,0,1203,55,32,
52023,E01033685,Manchester 003F,Lower Super Output Areas and Data Zones,LSOADZ,182,138,33,2,1561,23,12,
52024,E01033686,Manchester 028F,Lower Super Output Areas and Data Zones,LSOADZ,240,117,25,8,1265,15,22,
52025,E01033687,Manchester 003G,Lower Super Output Areas and Data Zones,LSOADZ,285,217,105,11,1417,15,26,
52026,E01033688,Manchester 013G,Lower Super Output Areas and Data Zones,LSOADZ,195,219,118,13,1505,40,14,
